Precinct,Total Voters,Kamala Harris,Kamala %,Donald Trump,Trump %,RFK,RFK%,Ward,shape_area,ward_precinct,shape_leng,precinct,ward,geometry,Kamala
21,974,825,84.70%,136,13.96%,13,1.33%,Ward 1,0.0000232143180843,01021,0.0208917109037,21.0,1.0,"POLYGON ((-87.66751300012481 41.904016999984606, -87.6675900000784 41.907007000272856, -87.66272699975121 41.90705599983459, -87.6628120000737 41.90804599962326, -87.66186400042324 41.90706999958087, -87.66129100007953 41.905995000369046, -87.66113600012625 41.90496899981951, -87.66129200012568 41.903439000309675, -87.6674950001941 41.90334599961824, -87.66751300012481 41.904016999984606))",84.7
22,1208,1038,85.93%,155,12.83%,15,1.24%,Ward 1,0.0000221900207306,01022,0.0194716999587,22.0,1.0,"POLYGON ((-87.67354500040143 41.90143200038652, -87.67359399996309 41.903247000448744, -87.6674950001941 41.90334599961824, -87.66739199994083 41.89970800002426, -87.67348899961758 41.89961400018604, -87.67354500040143 41.90143200038652))",85.93
23,620,523,84.35%,90,14.52%,7,1.13%,Ward 1,0.0000127341394417,01023,0.0152732864539,23.0,1.0,"POLYGON ((-87.6674180002405 41.90061699967487, -87.6674950001941 41.90334599961824, -87.66648500038242 41.903358000171636, -87.66252999965974 41.9008230001814, -87.66250400025939 41.89978600002394, -87.66739199994083 41.89970800002426, -87.6674180002405 41.90061699967487))",84.35
24,1141,973,85.28%,156,13.67%,12,1.05%,Ward 1,0.0000302416182064,01024,0.0272324408071,24.0,1.0,"POLYGON ((-87.67206300040709 41.89234999975276, -87.67228199971447 41.8996330001629, -87.66739199994083 41.89970800002426, -87.66729199982592 41.89607399971538, -87.66972799974735 41.89603299962328, -87.66957800002467 41.89094399966592, -87.67202200031505 41.890902999573825, -87.67206300040709 41.89234999975276))",85.28
25,1099,917,83.44%,170,15.47%,12,1.09%,Ward 1,0.0000288906413195,01025,0.032062290094,25.0,1.0,"POLYGON ((-87.66960699956331 41.89198900019227, -87.66972799974735 41.89603299962328, -87.66729199982592 41.89607399971538, -87.66739199994083 41.89970800002426, -87.66250400025939 41.89978600002394, -87.66246600030566 41.89844900042107, -87.66491900011175 41.89840500019068, -87.66490500036542 41.89611099962298, -87.66565800001666 41.8960979999228, -87.66557799992472 41.89336899997942, -87.66721199973398 41.89334299967976, -87.66714300014928 41.89097700028838, -87.66957800002467 41.89094399966592, -87.66960699956331 41.89198900019227))",83.44
26,1071,846,78.99%,210,19.61%,15,1.40%,Ward 1,0.0000294113856605,01026,0.0268928474689,26.0,1.0,"POLYGON ((-87.66223300035267 41.889943000269284, -87.66548300004041 41.88990500031554, -87.66551599976356 41.89099900040361, -87.66714300014928 41.89097700028838, -87.66721199973398 41.89334299967976, -87.65744399984067 41.89349799963304, -87.65743400027884 41.89306899963469, -87.66004099999213 41.8899590001078, -87.6608779999197 41.88994999969276, -87.6607769997587 41.88890600011189, -87.6621429997996 41.88894600015783, -87.66223300035267 41.889943000269284))",78.99
1,1162,850,73.15%,297,25.56%,15,1.29%,Ward 2,0.00000601816903785,02001,0.0110375483731,1.0,2.0,"POLYGON ((-87.61769300043159 41.89184699993916, -87.61771499964749 41.89264199972853, -87.6142190003066 41.89269300028179, -87.61401299980008 41.89294300011944, -87.61389399970831 41.89111000012644, -87.61766900022417 41.89105100010363, -87.61769300043159 41.89184699993916))",73.15
2,1220,968,79.34%,247,20.25%,5,0.41%,Ward 2,0.0000120454169487,02002,0.0180227650244,2.0,2.0,"POLYGON ((-87.61773799980881 41.893446999979126, -87.61779199960108 41.895050000157426, -87.62032200026005 41.89501500034202, -87.62034500042142 41.89579799957807, -87.61568999979363 41.895876999623916, -87.61367200026257 41.89309800007271, -87.6142190003066 41.89269300028179, -87.61771499964749 41.89264199972853, -87.61773799980881 41.893446999979126))",79.34
3,960,778,81.04%,179,18.65%,3,0.31%,Ward 2,0.000010162725486,02003,0.0131001191029,3.0,2.0,"POLYGON ((-87.62023399979921 41.891802999708716, -87.62032200026005 41.89501500034202, -87.61779199960108 41.895050000157426, -87.61766900022417 41.89105100010363, -87.62022500028348 41.89100399973483, -87.62023399979921 41.891802999708716))",81.04
4,988,742,75.10%,233,23.58%,13,1.32%,Ward 2,0.000009833359434,02004,0.0129890239164,4.0,2.0,"POLYGON ((-87.62267299985899 41.891656000124385, -87.62275800018153 41.89496900001939, -87.62032200026005 41.89501500034202, -87.62022500028348 41.89100399973483, -87.62163100037031 41.890978000334485, -87.6217709996319 41.89086799975842, -87.62264999969767 41.8909590003576, -87.62267299985899 41.891656000124385))",75.1
5,1069,759,71.00%,300,28.06%,10,0.94%,Ward 2,0.0000168742473142,02005,0.0280501143665,5.0,2.0,"POLYGON ((-87.62817499997624 41.89567900038559, -87.62682599981997 41.89569900040857, -87.62685000002745 41.8966949995746, -87.62616499991476 41.8967060000819, -87.61704800036489 41.896836999827705, -87.6163139997912 41.89676900028917, -87.61568999979363 41.895876999623916, -87.62034500042142 41.89579799957807, -87.62032200026005 41.89501500034202, -87.62680699984315 41.894896000250235, -87.62815299986102 41.894876000227256, -87.62817499997624 41.89567900038559))",71.0
6,1172,913,77.90%,251,21.42%,8,0.68%,Ward 2,0.0000104968065601,02006,0.0162515809666,6.0,2.0,"POLYGON ((-87.62183900006977 41.897614999732525, -87.62018200009919 41.89763999998603, -87.62023399979921 41.90007299976918, -87.61852500012861 41.90018599958426, -87.6163139997912 41.89676900028917, -87.62183099970082 41.89676900028917, -87.62183900006977 41.897614999732525))",77.9
7,962,713,74.12%,238,24.74%,11,1.14%,Ward 2,0.00000782486484465,02007,0.0145404437297,7.0,2.0,"POLYGON ((-87.62421199978394 41.89690100008112, -87.6241030001533 41.898386000213804, -87.62185599995439 41.898418999936936, -87.62188899967754 41.90004500027658, -87.62023399979921 41.90007299976918, -87.62018200009919 41.89763999998603, -87.62183900006977 41.897614999732525, -87.62183099970082 41.89676900028917, -87.62424300031415 41.896733999574444, -87.62421199978394 41.89690100008112))",74.12
8,805,634,78.76%,166,20.62%,5,0.62%,Ward 2,0.0000159770748092,02008,0.0215526054273,8.0,2.0,"POLYGON ((-87.62412700036072 41.8992100004412, -87.62420200022211 41.90141899978703, -87.62500400033429 41.90400100014608, -87.62419599994541 41.90404799961554, -87.62342999969468 41.903590000078516, -87.62271800013554 41.90291500042696, -87.62252800036691 41.90240400024447, -87.62260899960563 41.90185500010824, -87.6201329996382 41.901595999855545, -87.619662000401 41.90142500006374, -87.61915600044904 41.90105700018046, -87.61852500012861 41.90018599958426, -87.62188899967754 41.90004500027658, -87.62185599995439 41.898418999936936, -87.6241030001533 41.898386000213804, -87.62412700036072 41.8992100004412))",78.76
9,1116,828,74.19%,275,24.64%,13,1.16%,Ward 2,0.00000860934535638,02009,0.0126344676372,9.0,2.0,"POLYGON ((-87.628628000182 41.90318000005703, -87.6287100003662 41.904853999912234, -87.62584100026191 41.90490200032713, -87.62584799968539 41.9039880004459, -87.62500400033429 41.90400100014608, -87.62450699989807 41.902438000013724, -87.62834100043676 41.902380000036985, -87.628628000182 41.90318000005703))",74.19
10,645,464,71.94%,176,27.29%,5,0.78%,Ward 2,0.0000129877591239,02010,0.0274400951534,10.0,2.0,"POLYGON ((-87.63435399983717 41.90054299985962, -87.6343820002291 41.90132499994883, -87.63292999981962 41.901334000363875, -87.63298299956575 41.90311199961911, -87.63282600041953 41.90311599980362, -87.63264800030494 41.89661400033589, -87.63420300006834 41.89659600040517, -87.6342329996532 41.89741899968714, -87.63719999978014 41.897381999779505, -87.63718499998771 41.89698000012696, -87.63869100018945 41.897033999919174, -87.63876900018914 41.898922999796625, -87.6372619999413 41.89894399986576, -87.6372320003565 41.89816299982267, -87.63426200009121 41.8982039999147, -87.63435399983717 41.90054299985962))",71.94
11,987,738,74.77%,236,23.91%,13,1.32%,Ward 2,0.0000075839705695,02011,0.0135831747803,11.0,2.0,"POLYGON ((-87.63267799988972 41.897956000169295, -87.63275499984331 41.900536999582926, -87.63134999980264 41.90055300032078, -87.63130000019481 41.89873099993577, -87.62983199994682 41.89875200000483, -87.62981500006214 41.897988999892505, -87.63054999978262 41.897978000284525, -87.63051700005946 41.89664600001295, -87.63264800030494 41.89661400033589, -87.63267799988972 41.897956000169295))",74.77
